,trx,item
124,29,frozen vegetables
125,29,spaghetti
126,29,yams
127,29,mineral water
128,30,herb & pepper
129,30,tomato sauce
130,30,light cream
131,30,magazines
132,31,mineral water
133,31,chocolate
134,31,avocado
135,31,eggs
136,32,turkey
137,32,french fries
138,32,strawberries
139,33,frozen vegetables
140,33,strong cheese
141,33,chocolate
142,34,cookies
143,35,pickles
144,35,spaghetti
145,35,salmon
146,35,escalope
147,36,energy bar
148,36,french fries
149,37,red wine
150,37,ground beef
151,37,mineral water
152,38,mineral water
153,38,cake
154,38,cottage cheese
155,39,pickles
156,39,champagne
157,39,green tea
158,40,spaghetti
159,41,fresh tuna
160,41,frozen vegetables
161,41,spaghetti
162,41,mineral water
163,41,honey
164,41,whole wheat rice
165,41,frozen smoothie
166,41,escalope
167,42,spaghetti
168,43,soup
169,43,meatballs
170,43,hot dogs
171,43,sparkling water
172,44,escalope
173,45,soup
174,45,avocado
175,45,french fries
176,45,hot dogs
177,45,brownies
178,45,body spray
179,45,pancakes
180,45,green tea
181,46,mineral water
182,46,chicken
183,46,cereals
184,46,clothes accessories
185,47,mineral water
186,47,bug spray
187,48,avocado
188,48,muffins
189,49,burgers
190,49,black tea
191,49,green tea
192,50,spaghetti
193,50,chocolate
194,50,brownies
195,50,white wine
196,50,green tea
197,51,fresh tuna
198,51,mineral water
199,51,eggs
200,52,spaghetti
201,52,muffins
202,53,spaghetti
203,53,chocolate
204,54,french fries
205,54,escalope
206,54,champagne
207,55,tomato sauce
208,55,light mayo
209,56,turkey
210,56,fresh tuna
211,56,frozen vegetables
212,56,tomatoes
213,56,ground beef
214,56,spaghetti
215,56,mineral water
216,56,chocolate
217,56,soup
218,56,milk
219,56,olive oil
220,57,eggs
221,57,cookies
222,58,soup
223,58,chicken
224,58,gums
225,58,soda
226,58,body spray
227,58,energy drink
228,58,green tea
229,59,turkey
230,59,frozen vegetables
231,59,mineral water
232,59,cider
233,59,cooking oil
234,59,green tea
235,60,spaghetti
236,61,clothes accessories
237,62,energy drink
238,63,soup
239,63,bug spray
240,63,shallot
241,63,protein bar
242,63,green tea
243,64,turkey
244,64,eggs
245,65,french fries
246,66,chocolate
247,66,milk
248,67,herb & pepper
249,67,whole wheat pasta
250,67,ground beef
251,67,mineral water
252,67,avocado
253,67,cider
254,67,whole wheat rice
255,68,cookies
256,69,shrimp
257,69,pasta
258,70,grated cheese
259,70,herb & pepper
260,70,tomatoes
261,70,tomato sauce
262,70,corn
263,71,burgers
264,71,escalope
265,71,shallot
266,72,cookies
267,73,yogurt cake
268,74,soup
269,74,eggs
270,75,cookies
271,76,mineral water
272,76,chocolate
273,76,low fat yogurt
274,77,eggs
275,77,strawberries
276,78,grated cheese
277,78,ground beef
278,78,spaghetti
279,78,mineral water
280,78,white wine
281,79,mint
282,80,eggs
283,80,cake
284,80,french fries
285,81,burgers
286,81,spaghetti
287,81,milk
288,81,french fries
289,81,green tea
290,82,mineral water
291,82,energy bar
292,82,butter
293,82,french fries
294,83,burgers
295,83,grated cheese
296,83,herb & pepper
297,83,mineral water
298,83,eggs
299,83,cooking oil
300,84,energy bar
301,85,energy bar
302,85,energy drink
303,86,chocolate
304,86,frozen smoothie
305,87,low fat yogurt
306,88,asparagus
307,88,salad
308,89,burgers
309,89,french fries
310,89,low fat yogurt
311,89,green tea
312,90,low fat yogurt
313,91,burgers
314,91,herb & pepper
315,91,shrimp
316,91,pasta
317,91,spaghetti
318,91,mineral water
319,91,meatballs
320,91,olive oil
321,91,energy bar
322,91,french wine
323,91,eggs
324,91,salt
325,92,champagne
326,92,low fat yogurt
327,93,champagne
328,94,burgers
329,94,almonds
330,94,eggs
331,94,french fries
332,94,cookies
333,94,green tea
334,95,ham
335,95,soup
336,95,escalope
337,95,body spray
338,96,turkey
339,96,ham
340,96,frozen vegetables
341,96,pepper
342,96,oil
343,96,extra dark chocolate
344,96,tea
345,96,magazines
346,97,muffins
347,97,eggs
348,97,cookies
349,98,cookies
350,99,frozen vegetables
351,99,whole wheat pasta
352,99,ground beef
353,99,spaghetti
354,99,chocolate
355,99,green tea
356,100,mineral water
357,100,barbecue sauce
358,100,chocolate
359,101,burgers
360,101,herb & pepper
361,101,energy bar
362,101,almonds
363,101,eggs
364,101,corn
365,101,mayonnaise
366,101,zucchini
367,102,turkey
368,102,burgers
369,102,ground beef
370,102,chocolate
371,102,soup
372,102,almonds
373,102,eggs
374,102,hot dogs
375,102,cottage cheese
376,103,ham
377,103,spaghetti
378,103,chocolate
379,103,eggs
380,104,ground beef
381,104,energy bar
382,104,pet food
383,104,carrots
384,104,protein bar
385,105,ground beef
386,105,tomato sauce
387,105,spaghetti
388,105,mineral water
389,105,almonds
390,105,eggs
391,106,mineral water
392,106,olive oil
393,106,gums
394,106,cooking oil
395,107,shrimp
396,107,pasta
397,107,mineral water
398,107,soup
399,107,avocado
400,107,milk
401,107,olive oil
402,107,green grapes
403,107,eggs
404,107,bug spray
405,108,shrimp
406,108,pasta
407,108,soup
408,108,cake
409,108,cooking oil
410,108,chicken
411,108,light mayo
412,108,low fat yogurt
413,109,spaghetti
414,109,mineral water
415,109,chocolate
416,109,french fries
417,109,champagne
418,109,escalope
419,109,mushroom cream sauce
420,109,fresh bread
421,110,shrimp
422,110,pasta
423,110,mineral water
424,110,eggs
425,111,burgers
426,111,oil
427,111,tomato juice
428,111,fresh bread
429,112,french wine
430,112,eggs
431,112,chocolate
432,112,low fat yogurt
433,113,chicken
434,113,eggs
435,113,french fries
436,113,pancakes
437,114,turkey
438,114,herb & pepper
439,114,salmon
440,114,white wine
441,114,candy bars
442,115,grated cheese
443,115,spaghetti
444,115,olive oil
445,115,eggs
446,115,french fries
447,115,green tea
448,116,mineral water
449,116,energy bar
450,117,eggs
451,117,french fries
452,118,burgers
453,118,tomatoes
454,118,mineral water
455,118,soup
456,118,milk
457,118,almonds
458,118,eggs
459,118,chocolate
460,118,tomato juice
461,119,muffins
462,120,pasta
463,121,tomatoes
464,121,spaghetti
465,121,frozen smoothie
466,122,ground beef
467,122,spaghetti
468,122,milk
469,123,french fries
470,124,chocolate
471,124,milk
472,125,burgers
473,125,shrimp
474,125,pasta
475,125,frozen vegetables
476,125,spaghetti
477,125,mineral water
478,125,milk
479,125,eggs
480,125,chocolate
481,125,french fries
482,125,pancakes
483,125,low fat yogurt
484,126,ground beef
485,126,mineral water
486,126,antioxydant juice
487,126,protein bar
488,127,grated cheese
489,127,whole wheat pasta
490,127,ground beef
491,127,spaghetti
492,127,cake
493,127,energy drink
494,128,grated cheese
495,129,pancakes
496,130,frozen smoothie
497,131,carrots
498,131,green tea
499,132,chocolate
500,133,turkey
501,133,burgers
502,133,chocolate
503,133,olive oil
504,133,eggs
505,133,cooking oil
506,133,corn
507,134,frozen vegetables
508,134,tomatoes
509,134,pepper
510,134,spaghetti
511,134,mineral water
512,134,pancakes
513,134,chicken
514,134,chili
515,134,tea
516,134,french fries
517,134,tomato juice
518,134,fresh bread
519,135,cookies
520,136,ground beef
521,137,turkey
522,137,eggs
523,137,chocolate
524,137,frozen smoothie
525,137,tomato juice
526,138,frozen vegetables
527,138,cooking oil
528,138,mashed potato
529,139,frozen vegetables
530,139,ground beef
531,139,tomato sauce
532,139,mineral water
533,139,meatballs
534,139,olive oil
535,139,light cream
536,139,tomato juice
537,140,red wine
538,140,spaghetti
539,140,mineral water
540,140,soup
541,140,milk
542,140,eggs
543,140,cake
544,140,gums
545,140,cooking oil
546,140,chocolate
547,140,frozen smoothie
548,141,chocolate
549,141,tomatoes
550,141,spaghetti
551,141,mineral water
552,141,avocado
553,141,milk
554,141,olive oil
555,141,eggs
556,141,rice
557,141,french fries
558,141,brownies
559,142,chocolate
560,142,shrimp
561,142,pasta
562,142,frozen vegetables
563,142,ground beef
564,142,mineral water
565,142,nonfat milk
566,142,eggs
567,143,turkey
568,143,shrimp
569,143,pasta
570,143,pepper
571,143,spaghetti
572,143,mineral water
573,143,eggs
574,143,chicken
575,143,french fries
576,144,cookies
577,145,turkey
578,145,tomatoes
579,145,cake
580,146,yams
581,146,mineral water
582,146,soup
583,146,milk
584,146,pancakes
585,146,whole wheat rice
586,146,barbecue sauce
587,146,carrots
588,146,chocolate
589,146,champagne
590,147,rice
591,148,chocolate
592,148,milk
593,149,shrimp
594,149,pasta
595,149,frozen vegetables
596,149,water spray
597,150,burgers
598,150,mineral water
599,150,milk
600,150,eggs
601,150,whole wheat rice
602,150,mint
603,151,mineral water
604,151,vegetables mix
605,151,cake
606,151,frozen smoothie
607,151,brownies
608,152,cookies
609,153,shrimp
610,153,pasta
611,153,chicken
612,153,chocolate bread
613,154,shallot
614,155,shrimp
615,155,pasta
616,155,spaghetti
617,155,eggs
618,155,hot dogs
619,155,green tea
620,156,burgers
621,157,red wine
622,157,ground beef
623,157,spaghetti
624,157,mineral water
625,157,milk
626,157,olive oil
627,157,strong cheese
628,157,light cream
629,157,cooking oil
630,158,burgers
631,158,grated cheese
632,158,spaghetti
633,158,avocado
634,158,milk
635,158,oil
636,158,french fries
637,159,herb & pepper
638,159,whole wheat pasta
639,159,ground beef
640,159,mineral water
641,159,olive oil
642,160,shrimp
643,160,pasta
644,160,yams
645,160,milk
646,160,chocolate
647,161,butter
648,161,green tea
649,162,light mayo
650,163,low fat yogurt
651,164,herb & pepper
652,164,shrimp
653,164,pasta
654,164,spaghetti
655,164,milk
656,165,burgers
657,165,eggs
658,166,turkey
659,166,herb & pepper
660,166,ground beef
661,166,soup
662,166,avocado
663,166,milk
664,166,black tea
665,166,eggs
666,166,barbecue sauce
667,166,carrots
668,166,cookies
669,166,tomato juice
670,166,fresh bread
671,167,cookies
672,168,escalope
673,169,pepper
674,169,french fries
675,169,strawberries
676,169,pancakes
677,169,low fat yogurt
678,170,frozen vegetables
679,170,yams
680,170,chicken
681,170,honey
682,170,light mayo
683,171,chocolate
684,171,champagne
685,172,herb & pepper
686,172,honey
687,172,cake
688,172,rice
689,172,protein bar
690,173,burgers
691,173,chocolate
692,173,frozen vegetables
693,173,ground beef
694,173,mineral water
695,173,milk
696,173,light mayo
697,173,asparagus
698,174,chocolate
699,174,mineral water
700,174,corn
701,174,cottage cheese
702,174,green tea
703,175,muffins
704,176,ham
705,176,french wine
706,176,escalope
707,177,spaghetti
708,177,milk
709,177,whole wheat rice
710,177,mint green tea
711,178,chocolate
712,178,body spray
713,179,frozen vegetables
714,179,french fries
715,179,hot dogs
716,180,candy bars
717,181,burgers
718,181,shrimp
719,181,pasta
720,181,milk
721,181,green tea
722,181,french fries
723,181,cookies
724,181,white wine
725,182,parmesan cheese
726,182,ground beef
727,183,pancakes
728,183,whole wheat rice
729,183,candy bars
730,184,eggs
731,184,eggplant
732,184,cookies
733,185,frozen vegetables
734,185,mineral water
735,186,chocolate
736,187,turkey
737,187,spaghetti
738,187,milk
739,187,whole wheat rice
740,187,chocolate
741,188,whole wheat pasta
742,188,ground beef
743,188,spaghetti
744,188,soup
745,188,meatballs
746,188,chicken
747,188,blueberries
748,188,cooking oil
749,188,champagne
750,188,yogurt cake
751,188,protein bar
752,189,cooking oil
753,189,tomato juice
754,190,frozen vegetables
755,190,milk
756,190,eggs
757,190,french fries
758,190,green tea
759,191,fresh tuna
760,191,spaghetti
761,191,olive oil
762,191,french wine
763,191,eggs
764,191,french fries
765,191,champagne
766,191,pancakes
767,191,light mayo
768,192,red wine
769,192,honey
770,192,hot dogs
771,193,milk
772,193,bacon
773,193,eggs
774,193,french fries
775,193,fresh bread
776,194,french fries
777,194,yogurt cake
778,195,milk
779,196,french fries
780,197,chocolate
781,198,burgers
782,198,ham
783,198,red wine
784,199,shrimp
785,199,pasta
786,199,tomatoes
787,199,energy bar
788,199,french wine
789,199,antioxydant juice
790,199,french fries
791,199,frozen smoothie
792,199,brownies
793,200,green tea
794,201,low fat yogurt
795,202,turkey
796,202,spaghetti
797,202,mineral water
798,202,soup
799,202,spinach
800,202,soda
801,202,energy drink
802,202,salt
803,203,turkey
804,203,eggs
805,204,bug spray
806,204,hot dogs
807,205,oil
808,206,soup
809,206,energy bar
810,206,chicken
811,206,eggs
812,206,cake
813,206,french fries
814,206,body spray
815,206,strawberries
816,207,spaghetti
817,207,chocolate
818,207,yogurt cake
819,208,turkey
820,208,mineral water
821,208,meatballs
822,209,ground beef
823,209,mineral water
824,209,chocolate
825,209,fromage blanc
826,209,bacon
827,209,hot dogs
828,210,frozen vegetables
829,210,mineral water
830,210,vegetables mix
831,210,escalope
832,211,herb & pepper
833,211,red wine
834,211,tomatoes
835,212,whole wheat pasta
836,212,olive oil
837,212,cereals
838,212,brownies
839,212,green tea
840,213,cookies
841,214,olive oil
842,214,cookies
843,214,mushroom cream sauce
844,215,ground beef
845,215,pancakes
846,215,cooking oil
847,215,gluten free bar
848,215,light mayo
849,216,mineral water
850,216,french fries
851,217,herb & pepper
852,218,salmon
853,219,eggs
854,219,escalope
855,220,mineral water
856,220,tomato juice
857,221,mineral water
858,222,shrimp
859,222,mineral water
860,222,soup
861,222,black tea
862,223,cake
863,223,frozen smoothie
864,224,turkey
865,224,burgers
866,224,grated cheese
867,224,tomatoes
868,224,chocolate
869,224,fromage blanc
870,224,honey
871,224,whole wheat rice
872,225,frozen vegetables
873,225,ground beef
874,225,mineral water
875,225,olive oil
876,225,pancakes
877,226,turkey
878,226,burgers
879,226,ground beef
880,226,milk
881,226,olive oil
882,226,cake
883,226,fresh bread
884,227,whole wheat pasta
885,227,ground beef
886,227,spaghetti
887,227,yams
888,227,mineral water
889,227,soup
890,227,chutney
891,227,cereals
892,227,energy drink
893,227,protein bar
894,228,eggs
895,228,whole wheat rice
896,228,cake
897,228,green tea
898,228,escalope
899,229,ground beef
900,229,yams
901,229,soup
902,229,avocado
903,229,salmon
904,229,green tea
905,230,milk
906,231,spaghetti
907,231,chocolate
908,232,whole wheat pasta
909,232,honey
910,233,whole wheat pasta
911,233,green tea
912,234,spaghetti
913,234,meatballs
914,234,vegetables mix
915,234,chocolate
916,235,eggs
917,235,low fat yogurt
918,236,fresh tuna
919,236,shrimp
920,236,pasta
921,236,mineral water
922,236,olive oil
923,236,eggs
924,236,cake
925,236,brownies
926,236,tomato juice
927,237,mineral water
928,237,green grapes
929,237,hot dogs
930,237,fresh bread
931,238,frozen vegetables
932,238,meatballs
933,238,eggs
934,238,chocolate
935,239,chocolate
936,240,meatballs
937,240,milk
938,241,low fat yogurt
939,242,green tea
940,243,escalope
941,243,pasta
942,244,pepper
943,244,chocolate
944,244,olive oil
945,244,french wine
946,244,salmon
947,244,rice
948,244,light mayo
949,244,fresh bread
950,244,magazines
951,245,red wine
952,245,french wine
953,245,vegetables mix
954,245,rice
955,245,clothes accessories
956,245,hot dogs
957,245,green tea
958,246,burgers
959,246,dessert wine
960,246,spaghetti
961,246,chicken
962,246,cake
963,246,protein bar
964,246,green tea
965,247,french wine
966,247,cake
967,247,fresh bread
968,248,burgers
969,248,frozen vegetables
970,248,flax seed
971,248,eggs
972,249,red wine
973,250,pepper
974,250,mineral water
975,250,energy bar
976,250,green grapes
977,251,milk
978,251,eggs
979,251,cake
980,251,chocolate
981,251,french fries
982,251,green tea
983,252,french fries
984,253,almonds
985,254,burgers
986,254,mineral water
987,254,green tea
988,255,milk
989,255,pancakes
990,256,pancakes
991,256,eggs
992,256,salt
993,256,tomato juice
994,257,mineral water
995,258,ham
996,258,spaghetti
997,258,mineral water
998,258,olive oil
999,259,salt
1000,259,tomato juice
1001,259,fresh bread
1002,260,spaghetti
1003,260,mushroom cream sauce
1004,261,spaghetti
1005,261,mineral water
1006,261,eggs
1007,261,pet food
1008,262,frozen vegetables
1009,262,spaghetti
1010,263,energy drink
1011,264,muffins
1012,265,turkey
1013,265,milk
1014,266,cookies
1015,267,chocolate
1016,268,spaghetti
1017,268,mineral water
1018,268,eggs
1019,268,cooking oil
1020,268,chocolate
1021,268,escalope
1022,269,shrimp
1023,269,frozen vegetables
1024,269,pepper
1025,269,spaghetti
1026,269,green tea
1027,270,burgers
1028,270,fresh tuna
1029,270,red wine
1030,270,mineral water
1031,270,french fries
1032,270,hand protein bar
1033,270,low fat yogurt
1034,271,pancakes
1035,271,eggs
1036,271,energy drink
1037,271,fresh bread
1038,272,strong cheese
1039,272,salmon
1040,272,green tea
1041,272,french fries
1042,272,frozen smoothie
1043,272,hot dogs
1044,273,grated cheese
1045,273,shrimp
1046,273,pasta
1047,273,tomatoes
1048,273,milk
1049,273,frozen smoothie
1050,273,sandwich
1051,274,herb & pepper
1052,274,whole wheat pasta
1053,274,olive oil
1054,274,pancakes
1055,274,eggs
1056,275,spaghetti
1057,275,antioxydant juice
1058,276,chocolate
1059,276,milk
1060,276,almonds
1061,276,eggs
1062,276,strawberries
1063,276,white wine
1064,277,french fries
1065,277,strawberries
1066,278,mineral water
1067,279,eggs
1068,280,escalope
1069,281,cake
1070,282,whole wheat pasta
1071,282,antioxydant juice
1072,282,body spray
1073,282,green tea
1074,283,mineral water
1075,283,oil
1076,283,frozen smoothie
1077,284,french fries
1078,284,champagne
1079,285,chocolate
1080,285,french fries
1081,286,frozen vegetables
1082,286,spaghetti
1083,286,eggs
1084,287,hot dogs
1085,288,chocolate
1086,288,cookies
1087,289,pancakes
1088,290,shrimp
1089,290,butter
1090,290,chicken
1091,290,salmon
1092,291,chocolate
1093,291,cookies
1094,291,babies food
1095,292,pepper
1096,292,spaghetti
1097,292,cake
1098,292,chocolate
1099,292,french fries
1100,292,fresh bread
1101,293,avocado
1102,293,oil
1103,293,cereals
1104,293,french fries
1105,294,herb & pepper
1106,294,spaghetti
1107,294,mineral water
1108,294,spinach
1109,294,eggs
1110,294,oil
1111,294,cooking oil
1112,294,green tea
1113,294,shampoo
1114,294,tomato juice
1115,294,low fat yogurt
1116,295,herb & pepper
1117,295,frozen vegetables
1118,295,ground beef
1119,295,pepper
1120,295,spaghetti
1121,295,mint green tea
1122,295,french fries
1123,296,french fries
1124,297,green tea
1125,297,tomato juice
1126,298,eggs
1127,298,whole wheat rice
1128,298,chocolate
1129,299,grated cheese
1130,299,herb & pepper
1131,299,red wine
1132,299,spaghetti
1133,299,mineral water
1134,299,salmon
1135,299,eggs
1136,299,cooking oil
1137,299,green tea
1138,300,french fries
1139,300,cookies
1140,300,shallot
1141,300,tomato juice
1142,300,fresh bread
1143,300,low fat yogurt
1144,301,burgers
1145,301,fresh tuna
1146,301,spaghetti
1147,301,muffins
1148,301,honey
1149,302,herb & pepper
1150,302,ground beef
1151,302,spaghetti
1152,302,eggs
1153,302,chicken
1154,303,grated cheese
1155,303,muffins
1156,303,tomato juice
1157,303,mayonnaise
1158,304,whole wheat pasta
1159,304,yams
1160,304,mineral water
1161,304,muffins
1162,304,frozen smoothie
1163,304,hot dogs
1164,304,energy drink
1165,305,burgers
1166,305,spaghetti
1167,305,soup
1168,305,milk
1169,305,olive oil
1170,305,salmon
1171,305,eggs
1172,305,blueberries
1173,306,chocolate
1174,306,champagne
1175,306,magazines
1176,307,frozen vegetables
1177,307,spaghetti
1178,307,yams
1179,307,mineral water
1180,307,french wine
1181,307,green grapes
1182,307,rice
1183,307,chocolate
1184,308,tomato sauce
1185,308,chocolate
1186,309,milk
1187,309,eggs
1188,310,pet food
1189,311,yogurt cake
1190,312,green tea
1191,313,escalope
1192,313,pasta
1193,314,herb & pepper
1194,314,ground beef
1195,315,mineral water
1196,315,honey
1197,315,brownies
1198,316,turkey
1199,316,eggs
1200,316,cake
1201,316,energy drink
1202,317,turkey
1203,317,burgers
1204,317,dessert wine
1205,317,ground beef
1206,317,soup
1207,317,salmon
1208,317,eggs
1209,317,gums
1210,317,tomato juice
1211,317,candy bars
1212,318,spaghetti
1213,318,mineral water
1214,318,chicken
1215,319,turkey
1216,319,ground beef
1217,319,carrots
1218,319,french fries
1219,319,melons
1220,320,mineral water
1221,320,eggs
1222,320,low fat yogurt
1223,321,turkey
1224,321,cooking oil
1225,321,shampoo
1226,322,spaghetti
1227,322,hot dogs
1228,323,chocolate
1229,323,green tea
1230,324,grated cheese
1231,324,pepper
1232,324,mineral water
1233,324,chocolate
1234,324,eggs
1235,324,cake
1236,324,mashed potato
1237,324,tomato juice
1238,325,chocolate
1239,326,spaghetti
1240,326,olive oil
1241,326,strong cheese
1242,326,pancakes
1243,327,red wine
1244,327,mineral water
1245,327,soup
1246,327,rice
1247,327,cookies
1248,328,red wine
1249,328,shrimp
1250,328,spaghetti
1251,329,green tea
1252,330,mineral water
1253,330,chicken
1254,330,french fries
1255,330,frozen smoothie
1256,331,muffins
1257,332,cake
1258,332,chocolate
1259,333,fresh tuna
1260,333,tomatoes
1261,333,mineral water
1262,333,soup
1263,333,avocado
1264,333,meatballs
1265,333,olive oil
1266,334,turkey
1267,334,french fries
1268,335,burgers
1269,335,turkey
1270,335,herb & pepper
1271,335,ground beef
1272,335,pancakes
1273,335,eggs
1274,335,light cream
1275,335,rice
1276,335,champagne
1277,335,fresh bread
1278,336,escalope
1279,337,chocolate
1280,337,escalope
1281,337,fresh bread
1282,338,ham
1283,338,spaghetti
1284,338,french wine
1285,338,vegetables mix
1286,338,chocolate
1287,338,french fries
1288,339,avocado
1289,339,light mayo
1290,340,spaghetti
1291,340,yams
1292,340,butter
1293,340,chocolate
1294,341,energy bar
1295,341,eggs
1296,341,french fries
1297,342,fresh tuna
1298,342,barbecue sauce
1299,342,eggplant
1300,343,energy drink
1301,344,whole wheat rice
1302,344,french fries
1303,344,hot dogs
1304,344,green tea
1305,345,mineral water
1306,345,chicken
1307,345,green tea
1308,346,eggs
1309,346,cake
1310,346,mushroom cream sauce
1311,347,escalope
1312,348,antioxydant juice
1313,348,escalope
1314,349,shrimp
1315,349,spaghetti
1316,349,french fries
1317,350,grated cheese
1318,350,spaghetti
1319,350,salmon
1320,350,tomato juice
1321,351,spaghetti
1322,351,green tea
1323,352,champagne
1324,352,protein bar
1325,353,mineral water
1326,353,avocado
1327,353,chocolate
1328,354,tomatoes
1329,354,champagne
1330,354,green tea
1331,355,chicken
1332,355,french fries
1333,355,escalope
1334,356,frozen vegetables
1335,356,tomatoes
1336,356,eggs
1337,356,green tea
1338,356,frozen smoothie
1339,356,light mayo
1340,357,ground beef
1341,357,chicken
1342,357,cider
1343,357,green grapes
1344,357,honey
1345,357,chocolate
1346,357,french fries
1347,357,champagne
1348,357,frozen smoothie
1349,357,escalope
1350,358,french fries
1351,358,champagne
1352,359,mineral water
1353,359,soup
1354,360,frozen vegetables
1355,360,spaghetti
1356,360,milk
1357,360,chocolate
1358,360,babies food
1359,361,honey
1360,361,whole wheat rice
1361,362,whole wheat rice
1362,362,chicken
1363,362,tomato juice
1364,363,pancakes
1365,364,green tea
1366,364,protein bar
1367,364,tomato juice
1368,364,candy bars
1369,365,french fries
1370,366,mineral water
1371,367,escalope
1372,368,grated cheese
1373,368,herb & pepper
1374,368,whole wheat pasta
1375,368,yams
1376,368,mineral water
1377,368,bacon
1378,368,nonfat milk
1379,368,spinach
1380,369,spaghetti
1381,369,milk
1382,370,milk
1383,370,chocolate
1384,370,white wine
1385,371,sandwich
1386,372,chocolate
1387,372,light mayo
1388,373,shrimp
1389,373,whole wheat pasta
1390,373,spaghetti
1391,373,meatballs
1392,373,chicken
1393,373,frozen smoothie
1394,373,tomato juice
1395,374,red wine
1396,374,ground beef
1397,374,spaghetti
1398,374,mineral water
1399,374,eggs
1400,375,yams
1401,375,melons
1402,376,spaghetti
1403,376,cooking oil
1404,377,french fries
1405,378,mineral water
1406,378,milk
1407,378,spinach
1408,378,cooking oil
1409,378,chocolate
1410,378,frozen smoothie
1411,378,hot dogs
1412,379,tomato sauce
1413,379,milk
1414,380,shrimp
1415,380,cider
1416,380,eggs
1417,380,french fries
1418,381,champagne
1419,382,salad
1420,383,french fries
1421,384,frozen vegetables
1422,384,mineral water
1423,384,energy bar
1424,384,honey
1425,384,rice
1426,384,green tea
1427,385,french fries
1428,385,salad
1429,386,honey
1430,386,chocolate
1431,386,french fries
1432,386,brownies
1433,387,green tea
1434,387,strawberries
1435,387,gluten free bar
1436,388,frozen vegetables
1437,388,ground beef
1438,388,mineral water
1439,388,salmon
1440,388,honey
1441,388,extra dark chocolate
1442,388,green tea
1443,388,mushroom cream sauce
1444,388,gluten free bar
1445,389,grated cheese
1446,389,tomatoes
1447,389,mineral water
1448,389,meatballs
1449,390,shrimp
1450,390,chocolate
1451,390,water spray
1452,391,turkey
1453,392,turkey
1454,392,eggs
1455,393,turkey
1456,393,frozen vegetables
1457,393,tomatoes
1458,393,soup
1459,393,butter
1460,393,french wine
1461,393,pancakes
1462,393,eggs
1463,393,tomato juice
1464,393,fresh bread
1465,393,green tea
1466,394,spaghetti
1467,395,milk
1468,395,frozen smoothie
1469,395,low fat yogurt
1470,396,burgers
1471,396,mineral water
1472,396,milk
1473,396,whole wheat rice
1474,396,cereals
1475,396,chocolate
1476,396,french fries
1477,397,mineral water
1478,398,tomatoes
1479,398,mineral water
1480,398,soup
1481,398,cake
1482,398,chocolate
1483,399,mineral water
1484,400,ground beef
1485,400,spaghetti
1486,401,pepper
1487,401,frozen smoothie
1488,402,yogurt cake
1489,403,red wine
1490,403,pancakes
1491,404,candy bars
1492,405,eggs
1493,405,french fries
1494,405,low fat yogurt
1495,406,cookies
1496,407,cookies
1497,408,spaghetti
1498,408,soup
1499,408,vegetables mix
1500,408,spinach
1501,408,french fries
1502,408,escalope
1503,408,cauliflower
1504,408,toothpaste
1505,409,cookies
1506,410,soup
1507,410,olive oil
1508,410,eggs
1509,410,soda
1510,410,corn
1511,411,chocolate
1512,411,frozen smoothie
1513,411,low fat yogurt
1514,412,spaghetti
